"x_level","filename","survivor_count","file_size_bytes","file_size_mb"
"1","FLARE-survivors-5at-1x.csv","1","551","0"
"2","FLARE-survivors-5at-2x.csv","1758","761973","0.73"
"3","FLARE-survivors-5at-3x.csv","7073","3132974","2.99"
"4","FLARE-survivors-5at-4x.csv","17204","7692121","7.34"
"5","FLARE-survivors-5at-5x.csv","25273","11319490","10.8"
"6","FLARE-survivors-5at-6x.csv","31871","14292389","13.63"
"7","FLARE-survivors-5at-7x.csv","38566","17326529","16.52"
"8","FLARE-survivors-5at-8x.csv","45938","20662832","19.71"
"9","FLARE-survivors-5at-9x.csv","53651","24163589","23.04"
"10","FLARE-survivors-5at-10x.csv","61507","27725410","26.44"
"11","FLARE-survivors-5at-11x.csv","69132","31187192","29.74"
"12","FLARE-survivors-5at-12x.csv","76871","34699869","33.09"
"13","FLARE-survivors-5at-13x.csv","84634","38222453","36.45"
"14","FLARE-survivors-5at-14x.csv","92415","41755398","39.82"
"15","FLARE-survivors-5at-15x.csv","100440","45396892","43.29"
"16","FLARE-survivors-5at-16x.csv","108692","49140539","46.86"
"17","FLARE-survivors-5at-17x.csv","116651","52752921","50.31"
"18","FLARE-survivors-5at-18x.csv","124671","56391006","53.78"
"19","FLARE-survivors-5at-19x.csv","133037","60188248","57.4"
"20","FLARE-survivors-5at-20x.csv","141744","64144074","61.17"
"21","FLARE-survivors-5at-21x.csv","151323","68495981","65.32"
"22","FLARE-survivors-5at-22x.csv","161616","73176979","69.79"
"23","FLARE-survivors-5at-23x.csv","172558","78158324","74.54"
"24","FLARE-survivors-5at-24x.csv","184367","83540811","79.67"
"25","FLARE-survivors-5at-25x.csv","197096","89348688","85.21"
"26","FLARE-survivors-5at-26x.csv","210725","95573095","91.15"
"27","FLARE-survivors-5at-27x.csv","225158","102170519","97.44"
"28","FLARE-survivors-5at-28x.csv","240261","109085687","104.03"
"29","FLARE-survivors-5at-29x.csv","256270","116417343","111.02"
"30","FLARE-survivors-5at-30x.csv","272965","124070596","118.32"
"31","FLARE-survivors-5at-31x.csv","290301","132016077","125.9"
